City,Number_crimes
DelawareTownship,0
DelhiTownship,21
DelhiVillage,8
Delmar,29
DelranTownship,8
DelrayBeach,336
Delta,10
Demarest,2
Deming,135
Denison,125
Denmark,31
Dennis,88
Dennison,0
Denton,342
DentonTownship,2
Denver,5459
DenverCity,1
DenvilleTownship,6
Depew,0
DepewVillage,15
DepositVillage,1
DeptfordTownship,40
Derby,49
Derry,33
DesArc,8
DesMoines,1641
DesPlaines,56
DesertHotSprings,255
Detroit,13040
DetroitLakes,14
DevilsLake,20
Devine,5
Dewar,2
Dewey,5
DeweyBeach,7
Dexter,16
DexterVillage,0
Diamond,1
DiamondBar,72
Diamondville,1
Diaz,1
Dibble,2
Dickinson,118
Dickson,113
Dillard,0
Dilley,10
Dillingham,49
Dillon,11
Dilworth,6
Dimmitt,23
Dinuba,161
DistrictHeights,20
Divernon,0
Dixfield,3
Dixon,106
DobbsFerryVillage,4
DodgeCity,129
Dodgeville,6
Donalsonville,11
Donna,139
Doolittle,0
Doral,62
Dorris,4
DosPalos,64
DoubleOak,0
Douglas,26
Douglasville,182
Dover,427
DoverFoxcroft,2
Dowagiac,45
DownersGrove,46
Downey,352
DoylestownTownship,12
Dracut,30
Draper,69
Dresden,2
Drexel,0
Drumright,2
DryRidge,0
DrydenTownship,2
DrydenVillage,4
DuQuoin,14
Duarte,55
Dublin,137
DublinBorough,4
Dubuque,110
Duck,0
Dudley,32
DueWest,0
Duenweg,3
Duluth,292
Dumas,40
Dumfries,7
Dumont,6
Dunbarton,3
Duncan,44
Duncansville,1
Duncanville,174
Dundas,0
Dunedin,39
Dunellen,14
Dunkirk,21
Dunlap,23
Dunn,56
Dunnellon,8
DunnstableTownship,0
Dunsmuir,14
Dunstable,3
Dunwoody,64
Dupo,7
Dupont,20
Duquesne,1
Durand,9
Durango,75
Durant,67
Durham,2052
DurhamTown,0
Duvall,5
Duxbury,9
Dwight,4
Dyer,4
Dyersburg,180
Dyersville,5
Eagan,39
Eagar,11
EagleLake,10
EaglePass,37
EaglePoint,16
EagleRiver,2
EagleVillage,1
Eagleville,0
Earle,15
Earlville,1
Early,27
Easley,98
EastAlton,24
EastAuroraAuroraTown,2
EastBangor,0
EastBrandywineTownship,4
EastBridgewater,27
